"Kanji";"Hiragana";"English"
"おぼれる";"おぼれる";"to nearly drown, to sink below the surface (of water), to indulge in, to lose one's head over something"
"おまたせしました";"おまたせしました";"Thank you for waiting, Have I kept you waiting?"
"おまちください";"おまちください";
"おまちどおさま";"おまちどおさま";"I'm sorry to have kept you waiting"
"おめでたい";"おめでたい";"special, auspicious, happy, naive, inncocent, good-natured"
"おめでとう";"おめでとう";"congratulations!, an auspicious occasion!"
"おめにかかる";"おめにかかる";"to meet (someone of higher status), to be recognized (esp. by someone of higher status), to be visible, to be seen, to be noticed"
"思い出";"おもいで";"memories, recollections, reminiscence"
"思う";"おもう";"to think, to consider, to believe, to think (of doing), to plan (to do), to judge, to assess, to regard, to imagine, to suppose, to dream, to expect, to look forward to, to feel, to desire, to want, to recall, to remember"
"重たい";"おもたい";"heavy, massive, serious, important, severe, oppressed"
"表";"おもて";"surface, face (i.e. the visible side of an object), front (of a building, etc.), obverse side (i.e. ""head"") of a coin, outside, exterior, appearance, public, first half (of an innings), top (of an inning), cover (for tatami mats, etc.), foreground"
"主に";"おもに";"mainly, primarily"
"思わず";"おもわず";"unintentionally, reflexively, spontaneously, involuntarily, instinctively"
"おや";"おや";"oh!, oh?, my!"
"親";"おや";"parent, parents, dealer (in cards), founder, (pet) owner"
"おやすみ";"おやすみ";"holiday, day off, absence, sleep, rest; (Expressions) Good night"
"おやつ";"おやつ";"between meal snack, mid-afternoon (around 3 o'clock) snack, afternoon refreshment, afternoon tea"
"およそ";"およそ";"about, roughly, as a rule, approximately"
"オルガン";"オルガン";"organ (musical instrument)"
"折れる";"おれる";"to break, to be folded, to give in, to turn (a corner)"
"おろす";"おろす";"to take down (e.g. flag), to launch (e.g. boat), to drop, to lower (e.g. ladder), to let (a person) off, to unload, to discharge, to drop off (a passenger from a vehicle), to let (a person) off, to withdraw money from an account, to wear (clothing) for the first time, to fillet (e.g. a fish)"
"終";"おわり";"the end"
"~終る";"~おわる";
"音楽";"おんがく";"music, musical movement"
"おんけい";"おんけい";"grace, favor, favour, blessing, benefit"
"おんせん";"おんせん";"spa, hot spring, onsen"
"おんだん";"おんだん";"warmth"
"おんちゅう";"おんちゅう";"stomach"
"温度";"おんど";"temperature"
"女";"おんな";"woman"
"女の子";"おんなのこ";"girl"
"女の人";"おんなのひと";"woman"
"可";"か";"passable, acceptable, tolerable, fair"
"か";"か";"mosquito"
"課";"か";"lesson, section (in an organization), division, department; (counter) counter for lessons and chapters (of a book)"
"~日";"~か";
"~下";"~か";
"~化";"~か";
"~科";"~か";
"~家";"~か";
"~歌";"~か";
"画~";"が~";
"~画";"~が";
"カー";"カー";"car"
"カーテン";"カーテン";"curtain, curtains"
"カード";"カード";"card, curd"
"カーブ";"カーブ";"curve, curve ball (baseball)"
"会";"かい";"gathering (esp. Buddhist, festive, etc.)"
"回";"かい";"counter for occurrences; (counter) counter for innings (baseball)"
"かい";"かい";"shell, shellfish"
"~階";"~かい";
"がい";"がい";"injury, harm, evil influence, damage"
"外~";"がい~";
"~外";"~がい";
"会員";"かいいん";"member, the membership"
"絵画";"かいが";"picture, painting"
"開会";"かいかい";"opening of a meeting"
"海外";"かいがい";"foreign, abroad, overseas"
"会館";"かいかん";"meeting hall, assembly hall"
"海岸";"かいがん";"coast, beach"
"会議";"かいぎ";"meeting, conference, session, assembly, council, convention, congress"
"会計";"かいけい";"account, finance, accountant, treasurer, paymaster, reckoning, bill"
"解決";"かいけつ";"settlement, solution, resolution"
"会合";"かいごう";"meeting, assembly, association, (astronomical) conjunction"
"外交";"がいこう";"diplomacy"
"外国";"がいこく";"foreign country"
"解散";"かいさん";"breakup, dissolution"
"開始";"かいし";"start, commencement, beginning, initiation"
"会社";"かいしゃ";"company, corporation, workplace"
"かいしゃく";"かいしゃく";"explanation, interpretation"
"会場";"かいじょう";"assembly hall, meeting place, the grounds"
"回数";"かいすう";"number of times, frequency, count"
"改正";"かいせい";"revision, amendment, alteration"
"解説";"かいせつ";"explanation, commentary, exposition, elucidation"
"かいぜん";"かいぜん";"betterment, improvement, kaizen (Japanese business philosophy of continuous improvement)"
"改造";"かいぞう";"remodeling, remodelling, restructuring, modding"
"かいだん";"かいだん";"stairs, stairway, staircase"
"快適";"かいてき";"pleasant, agreeable, comfortable"
"回転";"かいてん";"rotation (usu. around something), revolution, turning"
"かいとう";"かいとう";"answer, solution"
"回答";"かいとう";"reply, answer"
"外部";"がいぶ";"the outside; (nouns) external"
"回復";"かいふく";"recovery (from illness), improvement, rehabilitation, restoration, convalescence"
"解放";"かいほう";"release, unleashing, liberation, emancipation, setting free, deallocation (of computer memory)"
"開放";"かいほう";"open, throw open, liberalization, liberalisation"
"買い物";"かいもの";"shopping, purchased goods"
"海洋";"かいよう";"ocean"
"会話";"かいわ";"conversation"
"かえって";"かえって";"on the contrary, rather, all the more, instead"
"帰り";"かえり";"return, coming back"
"反る";"かえる";"to warp, to be warped, to curve, to be curved, to be arched, to bend (backward)"
"顔";"かお";"face (person)"
"かおり";"かおり";"aroma, fragrance, scent, smell"
"画家";"がか";"painter, artist"
"かかえる";"かかえる";"to hold or carry under or in the arms, to have (esp. problems, debts, etc.), to employ, to engage, to hire"
"かかく";"かかく";"price, value, cost"
"科学";"かがく";"science"
"化学";"かがく";"chemistry; (suffix) chemical company (e.g. Acme Chemical Co.)"
"かがみ";"かがみ";"mirror"
"かがやく";"かがやく";"to shine, to glitter, to sparkle"
"かかる";"かかる";"to take; (Godan) to hang; (Godan) to come into view, to arrive; (Godan) to come under (a contract, a tax); (Godan) to start (engines, motors); (Godan) to attend, to deal with, to handle; (auxiliary) to have started to, to be on the verge of, to overlap (e.g. information in a manual), to cover; (auxiliary) to (come) at, to be fastened, to be covered (e.g. with dust, a table-cloth, etc.), to be caught in, to get a call, to depend on"
"かかる";"かかる";"to suffer from"
"係わる";"かかわる";"to be affected, to be influenced, to be concerned with, to have to do with, to stick to (opinions)"
"書取";"かきとり";"writing down from other written material, writing kanji text from hiragana, transcription (of spoken material)"
"限る";"かぎる";"to restrict, to limit, to confine"
"書く";"かく";"to write"
"かく";"かく";"to scratch, to perspire, to shovel, to paddle"
"各~";"かく~";
"かぐ";"かぐ";"to sniff, to smell"
"家具";"かぐ";"furniture"
"がく";"がく";"learning, scholarship, erudition, knowledge"
"額";"がく";"picture (framed), amount or sum (of money)"
"かくう";"かくう";"aerial, overhead, fiction, fanciful"
"かくご";"かくご";"resolution, resignation, readiness, preparedness"
"確実";"かくじつ";"certainty, reliability, soundness"
"学者";"がくしゃ";"scholar"
"かくじゅう";"かくじゅう";"expansion"
"学習";"がくしゅう";"study, learning, tutorial"
"学術";"がくじゅつ";"science, learning, scholarship"
"学生";"がくせい";"student (esp. a university student)"
"かくだい";"かくだい";"magnification, enlargement, expansion"
"各地";"かくち";"every place, various places"
"角度";"かくど";"angle"
"かくにん";"かくにん";"affirmation, confirmation, validation"
"学部";"がくぶ";"department of a university; (noun) undergraduate (course, program, etc.)"
"かくれる";"かくれる";"to hide, to be hidden, to conceal oneself, to disappear"
"かげ";"かげ";"shadow, silhouette, reflection, image, presence, sign, light (stars, moon)"
"かげ";"かげ";"yin (i.e. the negative), unseen location (i.e. somewhere private)"
"かけざん";"かけざん";"multiplication"
"かけつ";"かけつ";"approval, adoption (e.g. motion, bill), passage"
"~ヶ月";"~かげつ";
"欠ける";"かける";"to be chipped, to be damaged, to be broken, to be lacking, to be missing, to be insufficient, to be short, to be deficient, to be negligent toward, (of the moon) to wane, to go into eclipse"
"かげん";"かげん";"addition and subtraction, allowance for, degree, extent, measure, condition, state of health, seasoning, flavor, flavour, moderation, adjustment, influence (of the weather), chance"
"過去";"かこ";"the past, bygone days, the previous"
"火口";"かこう";"crater, caldera"
"囲む";"かこむ";"to surround, to encircle"
"かさい";"かさい";"conflagration, fire"
"重ねる";"かさねる";"to pile up, to put something on another, to heap up, to add, to repeat"
"火山";"かざん";"volcano"
"かし";"かし";"loan, lending"
"かし";"かし";"pastry, confectionery"
"かじ";"かじ";"fire, conflagration"
"家事";"かじ";"housework, domestic chores, family affairs, household matters"
"かしこまりました";"かしこまりました";"certainly!"
"貸し出し";"かしだし";"lending, loaning"
"過失";"かしつ";"error, blunder, accident, fault, defect"
"かじつ";"かじつ";"fruit, nut, berry"
"貸間";"かしま";"room to let, room for rent"
"歌手";"かしゅ";"singer"
"かしょ";"かしょ";"passage, place, point, part"
"かじょう";"かじょう";"excess, over-"
"かじる";"かじる";"to chew, to bite (at), to gnaw, to nibble, to munch, to crunch, to have a smattering of, to dabble in (e.g. hobby, instrument)"
"数";"かず";"often, again and again, frequently"
"ガス";"ガス";"gas"
"かぜ";"かぜ";"pretence (pretense), show, appearance, behaviour, swing, swinging, lacking a reservation or introduction (at a restaurant, etc.), unsewn part of a hanging sleeve on a traditional Japanese woman's garment"
